drug_id,disease_id
C044946,D002277
C044946,D002311
C044946,D003371
C044946,D003928
C044946,D004719
C044946,D005355
C044946,D005921
C044946,D005923
C044946,D006333
C044946,D006505
C044946,D006943
C044946,D006946
C044946,D006973
C044946,D006977
C044946,D006984
C044946,D007333
C044946,D007410
C044946,D007674
C044946,D007676
C044946,D009374
C044946,D009389
C044946,D009400
C044946,D009404
C044946,D011507
C044946,D012206
C044946,D013262
C044946,D014511
C044946,D015428
C044946,D015431
C044946,D017202
C044946,D017379
C044946,D018149
C044946,D018487
C044946,D020257
C044946,D024821
C044946,D050197
C044946,D051437
C044946,D054058
C044946,D058186
C045463,D000015
C045463,D001168
C045463,D001169
C045463,D001172
C045463,D002972
C045463,D003967
C045463,D004892
C045463,D005234
C045463,D006345
C045463,D006417
C045463,D006973
C045463,D007970
C045463,D008103
C045463,D009395
C045463,D009436
C045463,D010198
C045463,D010523
C045463,D011115
C045463,D013262
C045463,D014657
C045463,D017880
C045463,D019465
C045463,D056486
C047781,D001259
C047781,D001416
C047781,D001480
C047781,D001714
C047781,D001778
C047781,D002653
C047781,D002819
C047781,D003072
C047781,D003693
C047781,D003866
C047781,D003875
C047781,D004172
C047781,D004211
C047781,D004244
C047781,D004342
C047781,D004421
C047781,D004487
C047781,D004802
C047781,D004827
C047781,D004829
C047781,D004830
C047781,D004831
C047781,D004832
C047781,D005076
C047781,D005221
C047781,D005334
C047781,D005767
C047781,D006212
C047781,D006261
C047781,D006323
C047781,D006529
C047781,D006930
C047781,D006948
C047781,D007172
C047781,D007319
C047781,D007565
C047781,D007859
C047781,D008206
C047781,D008569
C047781,D008582
C047781,D009069
C047781,D009102
C047781,D009207
C047781,D009410
C047781,D009422
C047781,D009437
C047781,D010198
C047781,D010302
C047781,D011014
C047781,D011537
C047781,D011605
C047781,D012206
C047781,D012559
C047781,D012640
C047781,D013226
C047781,D013262
C047781,D013375
C047781,D014202
C047781,D017114
C047781,D019964
C047781,D019970
C047781,D056486
C047781,D064420
C051752,D001008
C051752,D001480
C051752,D001714
C051752,D001919
C051752,D003128
C051752,D003221
C051752,D003865
C051752,D003866
C051752,D006261
C051752,D006331
C051752,D006501
C051752,D006505
C051752,D007565
C051752,D008107
C051752,D009127
C051752,D009207
C051752,D009220
C051752,D012206
C051752,D012735
C051752,D012893
C051752,D014786
C051752,D017093
C051752,D017109
C051752,D017114
C051752,D019970
C051752,D020230
C051752,D051437
C051752,D056486
C052035,D000419
C052035,D000799
C052035,D003329
C052035,D003371
C052035,D004487
C052035,D006261
C052035,D006333
C052035,D006973
C052035,D008569
C052035,D009069
C052035,D009203
C052035,D009325
C052035,D011507
C052035,D013262
C052035,D014717
C052035,D015427
C052035,D015431
C052035,D017202
C052035,D017379
C052035,D018487
C052035,D019636
C052035,D051437
C055162,D000380
C055162,D000741
C055162,D000799
C055162,D001157
C055162,D001281
C055162,D002318
C055162,D002543
C055162,D002545
C055162,D002546
C055162,D002779
C055162,D003324
C055162,D003327
C055162,D003328
C055162,D003925
C055162,D004342
C055162,D004417
C055162,D005076
C055162,D005334
C055162,D006212
C055162,D006261
C055162,D006463
C055162,D006470
C055162,D006505
C055162,D006987
C055162,D007431
C055162,D007970
C055162,D009203
C055162,D009325
C055162,D009336
C055162,D009362
C055162,D009503
C055162,D011655
C055162,D013262
C055162,D013345
C055162,D013575
C055162,D013610
C055162,D013921
C055162,D013923
C055162,D013927
C055162,D014581
C055162,D014652
C055162,D014839
C055162,D015433
C055162,D017202
C055162,D020246
C055162,D020300
C055162,D020521
C055162,D050197
C055162,D054058
C055162,D056486
C056507,D000230
C056507,D000505
C056507,D000707
C056507,D000740
C056507,D000743
C056507,D000855
C056507,D000860
C056507,D001037
C056507,D001247
C056507,D001259
C056507,D001281
C056507,D001282
C056507,D001342
C056507,D001749
C056507,D001766
C056507,D001855
C056507,D001943
C056507,D002037
C056507,D002277
C056507,D002289
C056507,D002292
C056507,D002294
C056507,D002295
C056507,D002583
C056507,D002637
C056507,D003072
C056507,D003221
C056507,D003680
C056507,D003967
C056507,D004417
C056507,D004487
C056507,D004890
C056507,D005076
C056507,D005221
C056507,D005334
C056507,D005767
C056507,D006261
C056507,D006331
C056507,D006333
C056507,D006402
C056507,D006461
C056507,D006463
C056507,D006528
C056507,D006689
C056507,D006932
C056507,D006947
C056507,D006973
C056507,D007010
C056507,D007022
C056507,D007511
C056507,D007674
C056507,D007970
C056507,D008113
C056507,D008171
C056507,D008175
C056507,D008228
C056507,D008654
C056507,D009101
C056507,D009135
C056507,D009203
C056507,D009207
C056507,D009325
C056507,D009336
C056507,D009369
C056507,D009374
C056507,D009422
C056507,D009503
C056507,D010051
C056507,D010146
C056507,D010190
C056507,D010292
C056507,D010490
C056507,D010523
C056507,D011014
C056507,D011471
C056507,D011654
C056507,D012128
C056507,D012206
C056507,D012640
C056507,D012770
C056507,D013280
C056507,D013617
C056507,D013921
C056507,D013927
C056507,D014511
C056507,D014657
C056507,D014786
C056507,D014839
C056507,D015179
C056507,D015433
C056507,D015746
C056507,D016403
C056507,D017093
C056507,D020244
C056507,D020246
C056507,D020258
C056507,D051437
C056507,D052016
C056507,D053609
C056507,D056784
C056507,D058186
C056507,D064420
C057693,D000138
C057693,D000419
C057693,D000855
C057693,D002289
C057693,D002779
C057693,D002780
C057693,D003092
C057693,D003110
C057693,D003920
C057693,D003921
C057693,D003924
C057693,D003925
C057693,D003928
C057693,D004342
C057693,D005234
C057693,D005355
C057693,D005910
C057693,D005921
C057693,D006331
C057693,D006501
C057693,D006505
C057693,D006528
C057693,D006932
C057693,D006943
C057693,D006946
C057693,D006949
C057693,D006965
C057693,D006973
C057693,D007249
C057693,D007333
C057693,D007511
C057693,D007565
C057693,D008103
C057693,D008113
C057693,D008114
C057693,D008175
C057693,D008325
C057693,D009220
C057693,D009336
C057693,D009361
C057693,D009389
C057693,D010190
C057693,D011230
C057693,D011507
C057693,D011537
C057693,D011565
C057693,D011658
C057693,D012878
C057693,D013274
C057693,D013964
C057693,D015228
C057693,D015427
C057693,D015430
C057693,D015470
C057693,D017093
C057693,D017114
C057693,D020258
C057693,D047508
C057693,D050197
C057693,D051437
C057693,D054198
C057693,D056486
C057693,D064420
C060836,D000419
C060836,D001321
C060836,D001523
C060836,D001749
C060836,D001930
C060836,D002277
C060836,D002780
C060836,D003072
C060836,D003110
C060836,D003550
C060836,D003920
C060836,D003921
C060836,D003924
C060836,D003925
C060836,D003928
C060836,D004487
C060836,D005923
C060836,D006333
C060836,D006501
C060836,D006528
C060836,D006943
C060836,D006946
C060836,D006949
C060836,D006965
C060836,D007249
C060836,D007333
C060836,D007565
C060836,D007674
C060836,D008106
C060836,D008114
C060836,D008569
C060836,D009203
C060836,D009336
C060836,D009765
C060836,D010300
C060836,D011507
C060836,D011654
C060836,D011658
C060836,D015430
C060836,D017114
C060836,D018149
C060836,D018487
C060836,D019954
C060836,D020244
C060836,D020258
C060836,D050171
C060836,D056486
C062735,D001249
C062735,D003371
C062735,D003550
C062735,D004487
C062735,D004715
C062735,D004802
C062735,D006261
C062735,D006501
C062735,D006505
C062735,D006976
C062735,D007249
C062735,D007565
C062735,D007964
C062735,D008881
C062735,D009325
C062735,D009336
C062735,D010146
C062735,D010195
C062735,D010612
C062735,D011654
C062735,D012852
C062735,D014581
C062735,D014657
C062735,D015267
C062735,D015427
C062735,D029424
C062735,D047508
C062735,D056486
C065180,D000787
C065180,D000855
C065180,D001424
C065180,D002318
C065180,D002471
C065180,D003327
C065180,D003882
C065180,D003929
C065180,D004415
C065180,D006261
C065180,D006333
C065180,D006937
C065180,D006949
C065180,D007024
C065180,D009101
C065180,D009135
C065180,D009202
C065180,D009203
C065180,D009325
C065180,D009336
C065180,D009361
C065180,D010146
C065180,D011115
C065180,D011507
C065180,D012640
C065180,D013262
C065180,D015228
C065180,D015746
C065180,D050171
C065180,D050197
C065180,D056486
C065757,D001168
C065757,D001172
C065757,D001259
C065757,D003221
C065757,D003875
C065757,D003967
C065757,D004342
C065757,D005767
C065757,D006528
C065757,D007249
C065757,D007674
C065757,D009325
C065757,D009369
C065757,D010003
C065757,D010146
C065757,D010149
C065757,D011507
C065757,D012021
C065757,D012798
C065757,D013262
C065757,D013276
C065757,D013923
C065757,D014202
C065757,D014581
C065757,D014839
C065757,D015179
C065757,D015427
C065757,D018908
C065757,D047928
C065757,D053609
C065757,D056486
C065757,D064420
C067311,D000230
C067311,D000380
C067311,D000505
C067311,D000707
C067311,D000740
C067311,D000855
C067311,D001145
C067311,D001247
C067311,D001281
C067311,D001749
C067311,D001927
C067311,D001943
C067311,D002289
C067311,D002294
C067311,D002295
C067311,D002471
C067311,D002524
C067311,D002544
C067311,D003110
C067311,D003231
C067311,D003244
C067311,D003872
C067311,D003875
C067311,D003967
C067311,D004342
C067311,D004417
C067311,D004487
C067311,D004890
C067311,D004938
C067311,D005221
C067311,D005334
C067311,D005483
C067311,D005910
C067311,D006331
C067311,D006333
C067311,D006402
C067311,D006470
C067311,D006501
C067311,D006505
C067311,D006528
C067311,D006943
C067311,D006996
C067311,D007022
C067311,D007177
C067311,D007239
C067311,D007970
C067311,D008171
C067311,D008175
C067311,D008545
C067311,D009101
C067311,D009135
C067311,D009202
C067311,D009325
C067311,D009336
C067311,D009362
C067311,D009369
C067311,D009374
C067311,D009410
C067311,D009422
C067311,D009503
C067311,D010051
C067311,D010190
C067311,D010195
C067311,D010292
C067311,D010490
C067311,D010523
C067311,D010689
C067311,D010996
C067311,D011014
C067311,D011115
C067311,D011471
C067311,D011655
C067311,D012509
C067311,D012871
C067311,D012878
C067311,D013064
C067311,D013262
C067311,D013274
C067311,D013280
C067311,D013921
C067311,D013924
C067311,D014594
C067311,D014839
C067311,D015431
C067311,D015470
C067311,D018487
C067311,D018771
C067311,D018908
C067311,D020234
C067311,D020246
C067311,D052016
C067311,D054198
C067311,D054556
C067311,D056486
C067311,D064420
C076029,D000341
C076029,D000647
C076029,D001008
C076029,D001068
C076029,D001145
C076029,D001264
C076029,D001281
C076029,D001321
C076029,D001480
C076029,D001523
C076029,D001714
C076029,D001763
C076029,D001919
C076029,D002318
C076029,D002375
C076029,D002389
C076029,D002561
C076029,D002653
C076029,D002658
C076029,D002819
C076029,D003072
C076029,D003128
C076029,D003244
C076029,D003248
C076029,D003693
C076029,D003704
C076029,D003865
C076029,D003866
C076029,D003920
C076029,D004211
C076029,D004244
C076029,D004342
C076029,D004409
C076029,D004421
C076029,D004487
C076029,D004802
C076029,D005221
C076029,D005234
C076029,D005334
C076029,D005879
C076029,D006212
C076029,D006261
C076029,D006327
C076029,D006505
C076029,D006943
C076029,D006946
C076029,D006948
C076029,D006949
C076029,D006966
C076029,D006970
C076029,D006973
C076029,D007022
C076029,D007024
C076029,D007035
C076029,D007172
C076029,D007232
C076029,D007319
C076029,D007333
C076029,D008133
C076029,D008569
C076029,D009069
C076029,D009122
C076029,D009127
C076029,D009135
C076029,D009207
C076029,D009212
C076029,D009325
C076029,D009422
C076029,D009459
C076029,D009461
C076029,D009503
C076029,D009765
C076029,D009771
C076029,D010146
C076029,D010195
C076029,D010259
C076029,D010302
C076029,D010612
C076029,D011141
C076029,D011317
C076029,D011537
C076029,D011559
C076029,D011595
C076029,D011605
C076029,D011618
C076029,D011655
C076029,D012131
C076029,D012148
C076029,D012559
C076029,D012563
C076029,D012640
C076029,D012735
C076029,D012798
C076029,D013009
C076029,D013064
C076029,D013226
C076029,D013313
C076029,D013342
C076029,D013375
C076029,D013575
C076029,D013610
C076029,D014103
C076029,D014202
C076029,D014549
C076029,D014555
C076029,D014652
C076029,D014693
C076029,D014839
C076029,D014987
C076029,D015228
C076029,D015430
C076029,D015431
C076029,D016055
C076029,D016584
C076029,D017109
C076029,D017180
C076029,D018366
C076029,D018476
C076029,D019956
C076029,D019964
C076029,D019966
C076029,D019969
C076029,D019970
C076029,D020018
C076029,D020246
C076029,D020734
C076029,D020821
C076029,D024821
C076029,D050171
C076029,D054556
C076029,D055154
C076029,D056486
C076029,D062787
C076029,D064420
C081643,D000419
C081643,D000799
C081643,D002312
C081643,D002545
C081643,D004719
C081643,D005317
C081643,D005921
C081643,D005923
C081643,D006332
C081643,D006333
C081643,D006947
C081643,D006973
C081643,D006984
C081643,D007008
C081643,D007022
C081643,D007249
C081643,D007333
C081643,D007674
C081643,D007752
C081643,D008881
C081643,D009202
C081643,D011507
C081643,D013280
C081643,D014652
C081643,D015430
C081643,D015431
C081643,D017379
C081643,D018487
C081643,D019226
C081643,D020244
C081643,D051437
C081643,D056486
C081643,D058186
C084178,D000419
C084178,D000799
C084178,D001281
C084178,D001424
C084178,D002545
C084178,D003092
C084178,D003371
C084178,D003920
C084178,D003921
C084178,D003924
C084178,D003928
C084178,D003967
C084178,D004244
C084178,D004487
C084178,D005234
C084178,D005355
C084178,D005921
C084178,D005923
C084178,D006261
C084178,D006331
C084178,D006332
C084178,D006333
C084178,D006470
C084178,D006943
C084178,D006973
C084178,D007022
C084178,D007024
C084178,D007333
C084178,D007674
C084178,D009203
C084178,D009336
C084178,D009765
C084178,D011041
C084178,D011507
C084178,D013575
C084178,D013610
C084178,D014652
C084178,D015427
C084178,D015430
C084178,D015431
C084178,D017379
C084178,D018487
C084178,D024821
C084178,D050197
C084178,D051437
C084178,D056486
C084178,D058186
C086232,D002780
C086232,D005355
C086232,D006333
C086232,D006937
C086232,D006973
C086232,D006976
C086232,D006984
C086232,D007022
C086232,D007674
C086232,D008545
C086232,D009203
C086232,D011507
C086232,D013345
C086232,D015428
C086232,D017379
C086232,D018487
C086232,D020301
C086232,D051437
C086232,D056486
C086276,D001002
C086276,D002779
C086276,D006331
C086276,D006332
C086276,D006333
C086276,D006937
C086276,D006947
C086276,D006949
C086276,D008113
C086276,D009135
C086276,D009336
C086276,D012206
C086276,D013262
C086276,D015431
C086276,D018908
C086276,D051437
C086276,D056486
C086276,D058186
C086276,D064420
C089730,D000419
C089730,D000544
C089730,D000787
C089730,D001068
C089730,D001161
C089730,D001168
C089730,D001169
C089730,D001929
C089730,D001930
C089730,D001943
C089730,D002312
C089730,D002318
C089730,D002471
C089730,D002545
C089730,D002546
C089730,D003092
C089730,D003920
C089730,D003921
C089730,D003924
C089730,D003925
C089730,D003928
C089730,D003929
C089730,D004487
C089730,D005234
C089730,D005355
C089730,D006099
C089730,D006332
C089730,D006333
C089730,D006505
C089730,D006930
C089730,D006937
C089730,D006943
C089730,D006946
C089730,D006949
C089730,D006965
C089730,D006973
C089730,D006976
C089730,D007008
C089730,D007249
C089730,D007333
C089730,D007511
C089730,D007674
C089730,D007859
C089730,D008103
C089730,D008106
C089730,D008107
C089730,D008114
C089730,D008175
C089730,D008325
C089730,D008569
C089730,D009135
C089730,D009203
C089730,D009374
C089730,D009410
C089730,D009437
C089730,D009765
C089730,D010195
C089730,D011014
C089730,D011654
C089730,D013119
C089730,D013262
C089730,D013964
C089730,D015427
C089730,D015428
C089730,D015430
C089730,D017114
C089730,D017180
C089730,D017379
C089730,D018149
C089730,D018879
C089730,D019954
C089730,D020244
C089730,D020258
C089730,D024821
C089730,D028361
C089730,D050171
C089730,D050197
C089730,D055370
C089730,D056486
C089730,D065626
C089730,D066126
C093230,D005234
C093230,D006967
C093230,D011537
C093230,D012640
C093230,D013575
C093230,D014581
C093230,D014693
C093230,D015430
C093230,D016171
C093230,D017180
C093230,D050197
C093875,D000799
C093875,D001249
C093875,D004802
C093875,D007249
C093875,D008881
C093875,D010146
C093875,D011183
C093875,D013119
C093875,D013262
C093875,D013276
C093875,D013375
C093875,D014581
C093875,D015267
C093875,D056486
C103303,D001943
C103303,D006261
C103303,D006330
C103303,D008175
C103303,D009369
C103303,D009421
C103303,D011471
C103303,D011559
C103303,D015470
C103303,D018149
C103303,D056486
C116926,D000799
C116926,D001169
C116926,D001919
C116926,D001927
C116926,D002318
C116926,D002389
C116926,D002545
C116926,D002637
C116926,D002779
C116926,D003072
C116926,D003110
C116926,D003231
C116926,D003327
C116926,D003875
C116926,D004342
C116926,D004487
C116926,D004715
C116926,D004802
C116926,D005767
C116926,D006332
C116926,D006333
C116926,D006471
C116926,D006930
C116926,D006973
C116926,D007410
C116926,D007565
C116926,D007674
C116926,D007964
C116926,D008106
C116926,D008107
C116926,D009069
C116926,D009203
C116926,D009395
C116926,D010003
C116926,D010146
C116926,D010149
C116926,D011537
C116926,D011693
C116926,D012640
C116926,D013262
C116926,D013272
C116926,D013276
C116926,D013927
C116926,D014555
C116926,D014657
C116926,D014786
C116926,D015179
C116926,D015427
C116926,D015428
C116926,D015430
C116926,D015431
C116926,D019586
C116926,D020521
C116926,D050197
C116926,D051437
C116926,D056486
C116926,D058186
C116926,D064420
C121345,D001259
C121345,D002779
C121345,D005221
C121345,D006261
C121345,D009325
C121345,D011537
C121345,D014581
C121345,D014839
C121345,D014987
C419708,D000152
C419708,D000230
C419708,D000740
C419708,D001749
C419708,D001943
C419708,D002289
C419708,D002295
C419708,D003110
C419708,D003872
C419708,D003875
C419708,D003967
C419708,D005909
C419708,D006258
C419708,D006332
C419708,D006528
C419708,D006976
C419708,D007249
C419708,D007680
C419708,D007970
C419708,D008175
C419708,D008325
C419708,D008654
C419708,D009361
C419708,D009362
C419708,D009369
C419708,D009503
C419708,D010051
C419708,D011014
C419708,D011471
C419708,D011658
C419708,D012871
C419708,D012878
C419708,D013262
C419708,D013921
C419708,D013964
C419708,D015179
C419708,D015431
C419708,D017563
C419708,D020300
C419708,D052016
C419708,D055370
C419708,D056486
C419708,D066126
C471405,D001943
C471405,D002292
C471405,D003329
C471405,D003875
C471405,D003967
C471405,D004342
C471405,D005076
C471405,D005221
C471405,D005767
C471405,D006461
C471405,D006501
C471405,D006505
C471405,D006528
C471405,D006973
C471405,D007680
C471405,D007938
C471405,D008113
C471405,D008114
C471405,D008545
C471405,D008654
C471405,D009361
C471405,D009362
C471405,D009369
C471405,D009374
C471405,D009389
C471405,D010051
C471405,D012871
C471405,D013262
C471405,D013274
C471405,D013280
C471405,D015179
C471405,D015431
C471405,D015464
C471405,D015470
C471405,D016889
C471405,D017114
C471405,D017674
C471405,D018487
C471405,D054038
C473478,D000787
C473478,D001145
C473478,D001284
C473478,D001847
C473478,D001855
C473478,D002292
C473478,D002318
C473478,D003967
C473478,D005355
C473478,D005767
C473478,D006331
C473478,D006332
C473478,D006333
C473478,D006461
C473478,D006973
C473478,D008133
C473478,D008206
C473478,D009336
C473478,D009362
C473478,D009369
C473478,D011471
C473478,D014839
C473478,D015431
C473478,D017114
C473478,D017202
C473478,D018487
C473478,D058186
C473478,D066126
D000068579,D000230
D000068579,D000544
D000068579,D000707
D000068579,D000787
D000068579,D000799
D000068579,D000855
D000068579,D001145
D000068579,D001168
D000068579,D001169
D000068579,D001247
D000068579,D001943
D000068579,D002292
D000068579,D002294
D000068579,D002318
D000068579,D002389
D000068579,D002543
D000068579,D002583
D000068579,D002769
D000068579,D002779
D000068579,D002780
D000068579,D003072
D000068579,D003110
D000068579,D003221
D000068579,D003231
D000068579,D003866
D000068579,D003875
D000068579,D003967
D000068579,D004195
D000068579,D004342
D000068579,D004487
D000068579,D004715
D000068579,D004802
D000068579,D005076
D000068579,D005355
D000068579,D005767
D000068579,D006073
D000068579,D006212
D000068579,D006261
D000068579,D006402
D000068579,D006470
D000068579,D006471
D000068579,D006930
D000068579,D006973
D000068579,D007022
D000068579,D007249
D000068579,D007565
D000068579,D007674
D000068579,D008107
D000068579,D008180
D000068579,D008325
D000068579,D009101
D000068579,D009203
D000068579,D009336
D000068579,D009361
D000068579,D009362
D000068579,D009369
D000068579,D009395
D000068579,D009422
D000068579,D009759
D000068579,D010003
D000068579,D010146
D000068579,D010149
D000068579,D010190
D000068579,D010437
D000068579,D011230
D000068579,D011471
D000068579,D011507
D000068579,D011537
D000068579,D012120
D000068579,D012640
D000068579,D013262
D000068579,D013274
D000068579,D013610
D000068579,D013927
D000068579,D014202
D000068579,D014581
D000068579,D014594
D000068579,D014786
D000068579,D015179
D000068579,D015430
D000068579,D017114
D000068579,D017285
D000068579,D018366
D000068579,D020246
D000068579,D020250
D000068579,D051437
D000068579,D052016
D000068579,D056486
D000068579,D058186
D000068677,D001281
D000068677,D002037
D000068677,D002543
D000068677,D002637
D000068677,D003328
D000068677,D003550
D000068677,D004415
D000068677,D005483
D000068677,D006261
D000068677,D006332
D000068677,D006333
D000068677,D006943
D000068677,D006946
D000068677,D006973
D000068677,D006976
D000068677,D007022
D000068677,D007172
D000068677,D007674
D000068677,D008881
D000068677,D009135
D000068677,D009202
D000068677,D009203
D000068677,D009325
D000068677,D009336
D000068677,D009374
D000068677,D010146
D000068677,D011014
D000068677,D011183
D000068677,D011317
D000068677,D011471
D000068677,D012640
D000068677,D013272
D000068677,D013345
D000068677,D013375
D000068677,D013610
D000068677,D015228
D000068677,D015428
D000068677,D015431
D000068677,D015746
D000068677,D017180
D000068677,D017202
D000068677,D018487
D000068677,D020018
D000068677,D020244
D000068677,D020521
D000068677,D023921
D000068718,D000419
D000068718,D003128
D000068718,D003925
D000068718,D003967
D000068718,D006505
D000068718,D006937
D000068718,D006949
D000068718,D007249
D000068718,D007565
D000068718,D007674
D000068718,D009135
D000068718,D009157
D000068718,D009203
D000068718,D009336
D000068718,D010146
D000068718,D010612
D000068718,D011507
D000068718,D012206
D000068718,D012640
D000068718,D015228
D000068718,D015428
D000068718,D017202
D000068718,D050171
D000068718,D051437
D000068718,D054058
D000068718,D058186
D000068756,D000419
D000068756,D000799
D000068756,D001281
D000068756,D002318
D000068756,D003324
D000068756,D003866
D000068756,D003921
D000068756,D003928
D000068756,D004195
D000068756,D004244
D000068756,D004487
D000068756,D005355
D000068756,D005921
D000068756,D006261
D000068756,D006332
D000068756,D006333
D000068756,D006947
D000068756,D006973
D000068756,D006974
D000068756,D006977
D000068756,D007674
D000068756,D008106
D000068756,D008133
D000068756,D008569
D000068756,D009202
D000068756,D009203
D000068756,D009400
D000068756,D011507
D000068756,D011658
D000068756,D017379
D000068756,D018487
D000068756,D020018
D000068756,D020257
D000068756,D051437
D000068877,D000015
D000068877,D000740
D000068877,D001008
D000068877,D001943
D000068877,D003967
D000068877,D004487
D000068877,D004802
D000068877,D005076
D000068877,D005910
D000068877,D005921
D000068877,D006319
D000068877,D006331
D000068877,D006333
D000068877,D006505
D000068877,D006996
D000068877,D007938
D000068877,D008103
D000068877,D008106
D000068877,D008107
D000068877,D008133
D000068877,D008654
D000068877,D009120
D000068877,D009325
D000068877,D009336
D000068877,D009362
D000068877,D009369
D000068877,D010523
D000068877,D011471
D000068877,D011507
D000068877,D011658
D000068877,D011693
D000068877,D013274
D000068877,D013964
D000068877,D014657
D000068877,D014839
D000068877,D015464
D000068877,D017114
D000068877,D017674
D000068877,D018487
D000068877,D019465
D000068877,D020520
D000068877,D051437
D000068877,D054198
D000068877,D056486
D000068877,D058186
D000068900,D001284
D000068900,D003924
D000068900,D004487
D000068900,D006943
D000068900,D006984
D000068900,D007249
D000068900,D009336
D000068900,D013262
D000068900,D014652
D000068900,D015431
D000069059,D000740
D000069059,D001247
D000069059,D001259
D000069059,D001284
D000069059,D001749
D000069059,D001930
D000069059,D002318
D000069059,D002543
D000069059,D002761
D000069059,D002769
D000069059,D002779
D000069059,D002780
D000069059,D003324
D000069059,D003327
D000069059,D003556
D000069059,D003866
D000069059,D004211
D000069059,D004342
D000069059,D004401
D000069059,D004417
D000069059,D004802
D000069059,D005355
D000069059,D006332
D000069059,D006333
D000069059,D006417
D000069059,D006463
D000069059,D006505
D000069059,D006937
D000069059,D006943
D000069059,D006949
D000069059,D006973
D000069059,D006976
D000069059,D006984
D000069059,D007022
D000069059,D007249
D000069059,D007565
D000069059,D007674
D000069059,D008106
D000069059,D008881
D000069059,D009135
D000069059,D009203
D000069059,D009220
D000069059,D009325
D000069059,D009336
D000069059,D009369
D000069059,D009404
D000069059,D010146
D000069059,D010523
D000069059,D010787
D000069059,D011507
D000069059,D011537
D000069059,D011658
D000069059,D012206
D000069059,D012640
D000069059,D013119
D000069059,D013262
D000069059,D013610
D000069059,D013733
D000069059,D013927
D000069059,D014652
D000069059,D015228
D000069059,D015428
D000069059,D015431
D000069059,D017114
D000069059,D017285
D000069059,D018908
D000069059,D020521
D000069059,D050171
D000069059,D050197
D000069059,D054058
D000069059,D054537
D000069059,D056486
D000069059,D058186
D000069059,D064420
D000069347,D000230
D000069347,D001247
D000069347,D002289
D000069347,D002294
D000069347,D003967
D000069347,D004487
D000069347,D005076
D000069347,D005767
D000069347,D005910
D000069347,D006331
D000069347,D006505
D000069347,D007249
D000069347,D008175
D000069347,D008654
D000069347,D009369
D000069347,D009374
D000069347,D011658
D000069347,D013262
D000069347,D015179
D000069347,D017563
D000069347,D052016
D000069347,D056486
D000069348,D001008
D000069348,D001259
D000069348,D001480
D000069348,D001523
D000069348,D001714
D000069348,D002375
D000069348,D002561
D000069348,D002779
D000069348,D002780
D000069348,D002819
D000069348,D003072
D000069348,D003128
D000069348,D003693
D000069348,D003704
D000069348,D003711
D000069348,D003865
D000069348,D003866
D000069348,D003920
D000069348,D004421
D000069348,D004827
