meshid,side effect UMLS_id
C030852,C0549444
C030852,C0575081
C030852,C0595916
C030852,C0684249
C030852,C0242379
C030852,C0700292
C030852,C0242184
C030852,C0741494
C030852,C0743323
C030852,C0746731
C030852,C0746883
C030852,C0851341
C030852,C1384353
C030852,
C030852,C0853813
C030852,C0854069
C030852,C0854467
C030852,C0857496
C030852,C0877153
C030852,C0919924
C030852,C0947912
C030852,C1142499
C030852,C1145670
C030852,C1258215
C030852,C1262013
C030852,C1306571
C030852,C0085605
C030852,C1384666
C030852,C0011053
C030852,C1720798
C030852,C1963921
C043211,C0000737
C043211,C0687713
C043211,C0001925
C043211,C0002064
C043211,C0002170
C043211,C0002622
C043211,C0002792
C043211,C0002871
C043211,C0002874
C043211,C0002962
C043211,C0002965
C043211,C0002994
C043211,C0003123
C043211,C0232462
C043211,C0003862
C043211,C0948594
C043211,C0003864
C043211,C0004093
C043211,C0004238
C043211,C0004245
C043211,C0004604
C043211,C0005778
C043211,C0005779
C043211,C0006147
C043211,C0006266
C043211,C0006277
C043211,C0006384
C043211,C0007222
C043211,C0007820
C043211,C0008031
C043211,C0009450
C043211,C0009676
C043211,C1443060
C043211,C0009806
C043211,C0010200
C043211,C0011071
C043211,C0011124
C043211,C0855242
C043211,C0011175
C043211,C0011606
C043211,C0011849
C043211,C0011991
C043211,C0012833
C043211,C0013395
C043211,C0013404
C043211,C0013604
C043211,C0014518
C043211,C0014742
C043211,C0015230
C043211,C0011603
C043211,C0015672
C043211,C0015967
C043211,C0016204
C043211,C0017178
C043211,C0017181
C043211,C0017979
C043211,C0018099
C043211,C0018681
C043211,C0018772
C043211,C1384666
C043211,C0018790
C043211,C0018801
C043211,C0018965
C043211,C0019080
C043211,C0518015
C043211,C0020433
C043211,C0020443
C043211,C0020453
C043211,C0020456
C043211,C0020461
C043211,C0020517
C043211,C0020538
C043211,C0020557
C043211,C0853692
C043211,C0020580
C043211,C0020615
C043211,C0020621
C043211,C0020625
C043211,C0020649
C043211,C0020651
C043211,C0021053
C043211,C0021400
C043211,C0022660
C043211,C0023218
C043211,C0037763
C043211,C0023530
C043211,C0024115
C043211,C0025061
C043211,C0025222
C043211,C0026821
C043211,C0026827
C043211,C1142135
C043211,C0027051
C043211,C0948089
C043211,C0027424
C043211,C0027441
C043211,C0027497
C043211,C0027769
C043211,C0233494
C043211,C0027796
C043211,C0028084
C043211,C0028173
C043211,C0151539
C043211,C0030193
C043211,C0030196
C043211,C0030252
C043211,C0030312
C043211,C0030552
C043211,C0030554
C043211,C0031099
C043211,C0031350
C043211,C0032285
C043211,C0033774
C043211,C0033860
C043211,C0034063
C043211,C0034150
C043211,C1368065
C043211,C0034642
C043211,C0035067
C043211,C0035078
C043211,C0035455
C043211,C0036572
C043211,C0036974
C043211,C0036980
C043211,C0037199
C043211,C0037317
C043211,C0851578
C043211,C0038325
C043211,C0038454
C043211,C0038999
C043211,C0039070
C043211,C0041657
C043211,C0039231
C043211,C0040034
C043211,C0040264
C043211,C0041912
C043211,C0042023
C043211,C0042024
C043211,C0042029
C043211,C0042075
C043211,C0041969
C043211,C0042109
C043211,C0042373
C043211,C0042510
C043211,C0042514
C043211,C0042571
C043211,C0042769
C043211,C0042963
C043211,C0043094
C043211,C0043096
C043211,C0043144
C043211,C0043352
C043211,C0085096
C043211,C0085610
C043211,C0085614
C043211,C0085633
C043211,C0233472
C043211,C0085649
C043211,C0086439
C043211,C0149931
C043211,C0151517
C043211,C0151578
C043211,C0235431
C043211,C0151599
C043211,C0151603
C043211,C0268000
C043211,C0151662
C043211,C0151691
C043211,C0151718
C043211,C0151736
C043211,C3263723
C043211,C0151744
C043211,C0151746
C043211,C1565489
C043211,C0151826
C043211,C0151849
C043211,C0852911
C043211,C0151904
C043211,C0151905
C043211,C0152029
C043211,C0155626
C043211,C0160390
C043211,C2242588
C043211,C0162429
C043211,C0162830
C043211,C0178298
C043211,C0037274
C043211,C0206061
C043211,C0206062
C043211,C0220870
C043211,C0231218
C043211,C0234215
C043211,C2047937
C043211,C0231528
C043211,C0233632
C043211,C1306341
C043211,C0234533
C043211,C0234913
C043211,C0235198
C043211,C0233414
C043211,C0235437
C043211,C0235439
C043211,C0152031
C043211,C0235467
C043211,C0235490
C043211,C0235876
C043211,C0011570
C043211,C0235886
C043211,C0241863
C043211,C0242350
C043211,C0267821
C043211,C0271650
C043211,C0340464
C043211,C0340865
C043211,C0344232
C043211,C0344315
C043211,C0349782
C043211,C0423791
C043211,C0424740
C043211,C0277925
C043211,C0428977
C043211,C0476273
C043211,C0521160
C043211,C0262985
C043211,C0546817
C043211,C0546884
C043211,C0553732
C043211,C0574067
C043211,C0581164
C043211,C0861111
C043211,C0700200
C043211,C0700590
C043211,C0020458
C043211,C0728899
C043211,C0032343
C043211,C0740394
C043211,C0235416
C043211,C0812387
C043211,C0234192
C043211,
C043211,C0857256
C043211,C0863113
C043211,C0917801
C043211,C1260922
C043211,C0035204
C043211,C1456784
C043211,C0033975
C043211,C2830004
C043211,C3665386
C043211,C3665347
C044946,C0000737
C044946,C0687713
C044946,C0001824
C044946,C0002170
C044946,C0002878
C044946,C0002962
C044946,C0002994
C044946,C0003467
C044946,C0003811
C044946,C0003862
C044946,C0948594
C044946,C0003864
C044946,C0004093
C044946,C0004096
C044946,C0004604
C044946,C0006277
C044946,C0008031
C044946,C0009450
C044946,C0009806
C044946,C0010200
C044946,C0011124
C044946,C0855242
C044946,C0011603
C044946,C0011991
C044946,C0012833
C044946,C0013395
C044946,C0013404
C044946,C0013604
C044946,C0014457
C044946,C0015230
C044946,C0015672
C044946,C0016204
C044946,C0016382
C044946,C0017152
C044946,C0018681
C044946,C0019158
C044946,C0020461
C044946,C0020517
C044946,C0020625
C044946,C0020649
C044946,C0020651
C044946,C0022354
C044946,C0023052
C044946,C0023530
C044946,C0025222
C044946,C0026826
C044946,C0026858
C044946,C0027051
C044946,C0948089
C044946,C0027497
C044946,C0027769
C044946,C0233494
C044946,C0027947
C044946,C0030252
C044946,C0030305
C044946,C0030554
C044946,C0030807
C044946,C0031350
C044946,C0033687
C044946,C0948586
C044946,C0033774
C044946,C0034068
C044946,C0035455
C044946,C0036974
C044946,C0037199
C044946,C0038325
C044946,C0014742
C044946,C0038454
C044946,C0038990
C044946,C0020458
C044946,C0039070
C044946,C0041657
C044946,
C044946,C0040034
C044946,C0040264
C044946,C0042023
C044946,C0042029
C044946,C0042571
C044946,C0042963
C044946,C0085649
C044946,C0151539
C044946,C0231528
C044946,C0234987
C044946,C0242350
C044946,C0340865
C044946,C0002792
C044946,C0349506
C044946,C0162830
C044946,C0398370
C044946,C0520966
C044946,C0541923
C044946,C0542571
C044946,C0574067
C044946,C0700225
C044946,C0235431
C044946,C0855329
C044946,C0863113
C044946,C0917801
C044946,C0948050
C044946,C0948873
C044946,C0021400
C044946,C2830004
C045463,C0000737
C045463,C0687713
C045463,C0000768
C045463,C0424605
C045463,C0000833
C045463,C0001175
C045463,C0004364
C045463,C0001364
C045463,C0001824
C045463,C0001925
C045463,C0002170
C045463,C0002418
C045463,C0002792
C045463,C0002871
C045463,C0002962
C045463,C0002994
C045463,C0003123
C045463,C0232462
C045463,C0003467
C045463,C0003811
C045463,C0003862
C045463,C0948594
C045463,C0003864
C045463,C0004093
C045463,C0004096
C045463,C0004604
C045463,C0004936
C045463,C0006145
C045463,C0006277
C045463,C0006444
C045463,C0006849
C045463,C0006840
C045463,C0006852
C045463,C0700345
C045463,C1609512
C045463,C0007222
C045463,C0007859
C045463,C0008031
C045463,C0008350
C045463,C0008370
C045463,C0009319
C045463,C0009450
C045463,C0009763
C045463,C0009782
C045463,C0009806
C045463,C0009938
C045463,C0010200
C045463,C0010692
C045463,C0403632
C045463,C0232849
C045463,C0010709
C045463,C0011616
C045463,C0011630
C045463,C0011849
C045463,C0011991
C045463,C0012833
C045463,C0013146
C045463,C0013378
C045463,C0013395
C045463,C0013404
C045463,C0013428
C045463,C0013491
C045463,C0013595
C045463,C0014130
C045463,C0014457
C045463,C0014518
C045463,C0014591
C045463,C0014742
C045463,C0014868
C045463,C0015230
C045463,C0011603
C045463,C0015397
C045463,C0015672
C045463,C0015967
C045463,C0016204
C045463,C0017152
C045463,C0017160
C045463,C0017178
C045463,C0017574
C045463,C0018681
C045463,C0018799
C045463,C0018939
C045463,C0018944
C045463,C0018965
C045463,C0019080
C045463,C0518015
C045463,C0019158
C045463,C0019270
C045463,C0019348
C045463,C0019360
C045463,C0020456
C045463,C0020473
C045463,C0020517
C045463,C0020538
C045463,C0020540
C045463,C0020546
C045463,C0020550
C045463,C0020569
C045463,C0020621
C045463,C0020649
C045463,C0021053
C045463,C0021368
C045463,C0021400
C045463,C0022346
C045463,C0022408
C045463,C0029408
C045463,C0023218
C045463,C0037763
C045463,C0023530
C045463,C0023895
C045463,C0151763
C045463,C0239571
C045463,C0024137
C045463,C0025061
C045463,C0025222
C045463,C0025345
C045463,C0026821
C045463,C0027339
C045463,C0027497
C045463,C0027651
C045463,C0027765
C045463,C0027796
C045463,C0027813
C045463,C0031117
C045463,C0027947
C045463,C0029118
C045463,C0029445
C045463,C0030193
C045463,C0030232
C045463,C0030252
C045463,C0030305
C045463,C0030312
C045463,C0030554
C045463,C0030794
C045463,C0031350
C045463,C0032285
C045463,C0032584
C045463,C0033575
C045463,C0033774
C045463,C0033860
C045463,C0034069
C045463,C0035078
C045463,C0035243
C045463,C0035455
C045463,C0037199
C045463,C0037274
C045463,C0037287
C045463,C0281981
C045463,C0037299
C045463,C0038325
C045463,C0038362
C045463,C0038363
C045463,C0039103
C045463,C0039231
C045463,C0039520
C045463,C0040034
C045463,C0040435
C045463,C0041296
C045463,C0041582
C045463,C0041912
C045463,C0042023
C045463,C0042029
C045463,C0042075
C045463,C0041969
C045463,C0042109
C045463,C0042345
C045463,C0042384
C045463,C0042401
C045463,C1142412
C045463,C0042571
C045463,C0042963
C045463,C0043096
C045463,C0043352
C045463,C0085593
C045463,C0085605
C045463,C0085649
C045463,C0085682
C045463,C0086543
C045463,C0149745
C045463,C0149931
C045463,C0151576
C045463,C0853034
C045463,C0151689
C045463,C0474378
C045463,C0151754
C045463,C0853149
C045463,C0151766
C045463,C0151811
C045463,C0151825
C045463,C0151907
C045463,C0151908
C045463,C0151937
C045463,C0152081
C045463,C0160390
C045463,C2242588
C045463,C0162316
C045463,C0162429
C045463,C0178298
C045463,C0206061
C045463,C0206062
C045463,
C045463,C0221333
C045463,C0231218
C045463,C0234215
C045463,C1443060
C045463,C2047937
C045463,C0231441
C045463,C0231528
C045463,C0232459
C045463,C0235378
C045463,C0235996
C045463,C0242429
C045463,C2363730
C045463,C2363731
C045463,C0243026
C045463,C0267792
C045463,C0340865
C045463,C0344232
C045463,C0423791
C045463,C0438237
C045463,C0497156
C045463,C0497247
C045463,C0521987
C045463,C0574067
C045463,C0700590
C045463,C0020458
C045463,C0702166
C045463,C0851341
C045463,C1384353
C045463,C0851578
C045463,C0877359
C045463,C0917801
C045463,C0948023
C045463,C1096658
C045463,C1261167
C045463,C1318520
C045463,C1963951
C045463,C0029944
C045463,C1971624
C045463,C2242996
C045463,C3495559
C047781,C0000737
C047781,C0687713
C047781,C0000833
C047781,C0001824
C047781,C0002170
C047781,C0002418
C047781,C0002453
C047781,C0002622
C047781,C0002871
C047781,C0002874
C047781,C0002878
C047781,C0002886
C047781,C0002962
C047781,C0002994
C047781,C0003123
C047781,C0232462
C047781,C0003467
C047781,C0003537
C047781,C0003578
C047781,C0003635
C047781,C0003862
C047781,C0948594
C047781,C0003864
C047781,C0004093
C047781,C0004096
C047781,C0004134
C047781,C0004238
C047781,C0004604
C047781,C0004690
C047781,C0004936
C047781,C0005586
C047781,C0853193
C047781,C0005741
C047781,C0006147
C047781,C0006266
C047781,C0006277
C047781,C0006444
C047781,C0006852
C047781,C0700345
C047781,C1609512
C047781,C0007760
C047781,C0027765
C047781,C0007859
C047781,C0008031
C047781,C0009421
C047781,C0009450
C047781,C0009676
C047781,C1443060
C047781,C0009763
C047781,C0009782
C047781,C0009806
C047781,C0010200
C047781,C0010481
C047781,C0010692
C047781,C0403632
C047781,C0232849
C047781,C0011053
C047781,C0011124
C047781,C0855242
C047781,C0011168
C047781,C0011206
C047781,C0011253
C047781,C0011551
C047781,C0011570
C047781,C0011606
C047781,C0011616
C047781,C0011630
C047781,C0011991
C047781,C0012569
C047781,C0012739
C047781,C0012833
C047781,C0013144
C047781,C2830004
C047781,C0013362
C047781,C0029408
C047781,C0013378
C047781,C0013384
C047781,C0013390
C047781,C0013395
C047781,C0013404
C047781,C0013428
C047781,C0013447
C047781,C0013456
C047781,C0013491
C047781,C0013595
C047781,C0013604
C047781,C0014457
C047781,C0014518
C047781,C0014534
C047781,C0014549
C047781,C0014591
C047781,C0014724
C047781,C0014742
C047781,C0014868
C047781,C0015230
C047781,C0011603
C047781,C0015371
C047781,C0015397
C047781,C0015468
C047781,C0015672
C047781,C0015967
C047781,C0016204
C047781,C0016382
C047781,C0017152
C047781,C0017178
C047781,C0017181
C047781,C0017565
C047781,C0017566
C047781,C0017574
C047781,C0017675
C047781,C0018021
C047781,C0018520
C047781,C0018524
C047781,C0018681
C047781,C0018790
C047781,C0018801
C047781,C0018926
C047781,C0018939
C047781,C0018965
C047781,C0018991
C047781,C0019080
C047781,C0518015
C047781,C0019158
C047781,C0019360
C047781,C0019521
C047781,C0019572
C047781,C0020039
C047781,C0020429
C047781,C0020453
C047781,C0020433
C047781,C0020456
C047781,C0020517
C047781,C0020538
C047781,C0020578
C047781,C0020580
C047781,C0020651
C047781,C0020676
C047781,C0021177
C047781,C0021400
C047781,C0022107
C047781,C0022408
C047781,C0022568
C047781,C0022658
C047781,C0022660
C047781,C0022904
C047781,C3495920
C047781,C0023218
C047781,C0037763
C047781,C0023518
C047781,C0023530
C047781,C0024282
C047781,C0024902
C047781,C0025061
C047781,C0025222
C047781,C0025290
C047781,C0025323
C047781,C0025345
C047781,C0026650
C047781,C0026766
C047781,C0026826
C047781,C0026827
C047781,C1142135
C047781,C0026846
C047781,C0027051
C047781,C0948089
C047781,C0027066
C047781,C0027339
C047781,C0027424
C047781,C0027497
C047781,C0027769
C047781,C0233494
C047781,C0027796
C047781,C0027813
C047781,C0031117
C047781,C0027932
C047781,C0027947
C047781,C0028734
C047781,C0028738
C047781,C0030193
C047781,C0030252
C047781,C0030305
C047781,C0030312
C047781,C0030554
C047781,C0030567
C047781,C0242422
C047781,C0030846
C047781,C0030920
C047781,C0031212
C047781,C0031256
C047781,C0031350
C047781,C0032285
C047781,C0032617
C047781,C1167965
C047781,C0033774
C047781,C0033975
C047781,C0035078
C047781,C0035410
C047781,C0035455
C047781,C0036454
C047781,C0036508
C047781,C0036572
C047781,C0037036
C047781,C0037199
C047781,C0037299
C047781,C0037822
C047781,C0038220
C047781,C0038325
C047781,C0038358
C047781,C0038362
C047781,C0038363
C047781,C0038454
C047781,C0038661
C047781,C0852733
C047781,C0038663
C047781,C0038990
C047781,C0020458
C047781,C0039070
C047781,C0041657
C047781,C0036974
C047781,C0039231
C047781,C0039971
C047781,C0040034
C047781,C0040046
C047781,C0040053
C047781,C0040264
C047781,C0040435
C047781,C0040822
C047781,C0041834
C047781,C0042023
C047781,C0042024
C047781,C0042029
C047781,C0042109
C047781,C0042164
C047781,C0042267
C047781,C0404521
C047781,C0042373
C047781,C0042384
C047781,C0042401
C047781,C1142412
C047781,C0042571
C047781,C0042963
C047781,C0043094
C047781,C0043096
C047781,C0043352
C047781,C0043387
C047781,C0080274
C047781,C0085583
C047781,C0085593
C047781,C0085605
C047781,C0085606
C047781,C0085628
C047781,C0549249
C047781,C0085631
C047781,C0085632
C047781,C0233471
C047781,C0085633
C047781,C0233472
C047781,C0085636
C047781,C0085641
C047781,C0085649
C047781,C0086439
C047781,C0086769
C047781,C0149745
C047781,C0149931
C047781,C0151463
C047781,C0151474
C047781,C0151559
C047781,C0151565
C047781,C0151623
C047781,C0151610
C047781,C0040409
C047781,C0151736
C047781,C3263723
C047781,C0151752
C047781,C0235660
C047781,C0151766
C047781,C0151827
C047781,C0151836
C047781,C1456784
C047781,C0151883
C047781,C0085932
C047781,C0151888
C047781,C0151889
C047781,C0151904
C047781,C0151905
C047781,C0151907
C047781,C0151908
C047781,C0152128
C047781,C0152198
C047781,C0158350
C047781,C0162316
C047781,C0162429
C047781,C0162835
C047781,C0231218
C047781,C0234215
C047781,C2047937
C047781,C0231528
C047781,C0231530
C047781,C0232461
C047781,C0233477
C047781,C0234022
C047781,C0234376
C047781,C0234428
C047781,C0150450
C047781,C0234458
C047781,C0234535
C047781,C0235097
C047781,C0234547
C047781,C0235146
C047781,C0235639
C047781,C0438142
C047781,C0240211
C047781,C0241934
C047781,C0242350
C047781,C0267596
C047781,C0281963
C047781,C0034902
C047781,C0314719
C047781,C0338831
C047781,C0338908
C047781,C0344232
C047781,C0349410
C047781,C0349506
C047781,C0162830
C047781,C0392025
C047781,C0000731
C047781,C0392156
C047781,C0409974
C047781,C0024141
C047781,C0422980
C047781,C0423791
C047781,C0424000
C047781,C0424295
C047781,C0427108
C047781,C0575090
C047781,C0438215
C047781,C0497156
C047781,C0520966
C047781,C0522224
C047781,C0542571
C047781,C0543698
C047781,C1142139
C047781,C0558489
C047781,C0574067
C047781,C0575081
C047781,C0578687
C047781,C0600142
C047781,C0236075
C047781,C0687133
C047781,C0702166
C047781,C0851341
C047781,C1384353
C047781,
C047781,C0851578
C047781,C0858635
C047781,C0549373
C047781,C0917801
C047781,C0947912
C047781,C0151786
C047781,C1458155
C047781,C1510410
C047781,C1536075
C047781,C1579838
C047781,C0221776
C047781,C1760428
C047781,C2364111
C047781,C2937350
C047781,C0235969
C051752,C0000737
C051752,C0687713
C051752,C0002170
C051752,C0002792
C051752,C0002871
C051752,C0002962
C051752,C0002994
C051752,C0003123
C051752,C0232462
C051752,C0003467
C051752,C0003862
C051752,C0948594
C051752,C0003864
C051752,C0004093
C051752,C0004096
C051752,C0004134
C051752,C0004245
C051752,C0004604
C051752,C0006277
C051752,C0006444
C051752,C0006849
C051752,C0006840
C051752,C0007642
C051752,C0007859
C051752,C0008031
C051752,C0009319
C051752,C0009324
C051752,C0033247
C051752,C0009450
C051752,C0009676
C051752,C1443060
C051752,C0009763
C051752,C0009806
C051752,C0010692
C051752,C0403632
C051752,C0232849
C051752,C0011053
C051752,C0011124
C051752,C0855242
C051752,C0011168
C051752,C0011175
C051752,C0011551
C051752,C0011991
C051752,C0012569
C051752,C0012833
C051752,C0013362
C051752,C0029408
C051752,C0013378
C051752,C0013395
C051752,C0013404
C051752,C0013428
C051752,C0013456
C051752,C0013491
C051752,C0013595
C051752,C0013604
C051752,C0014591
C051752,C0014724
C051752,C0014868
C051752,C0015230
C051752,C0011603
C051752,C0015967
C051752,C0016204
C051752,C0016382
C051752,C0017152
C051752,C0017160
C051752,C0017181
C051752,C0017574
C051752,C0017601
C051752,C0017605
C051752,C0017675
C051752,C0018099
C051752,C0018418
C051752,C0018520
C051752,C0018524
C051752,C0018681
C051752,C0018802
C051752,C0018965
C051752,C0019080
C051752,C0518015
C051752,C0019158
C051752,C0019270
C051752,C0019521
C051752,C0020039
C051752,C0020443
C051752,C0020453
C051752,C0020517
C051752,C0020538
C051752,C0020578
C051752,C0020580
C051752,C0020615
C051752,C0020625
C051752,C0020649
C051752,C0020651
C051752,C0021177
C051752,C0021400
C051752,C0022573
C051752,C0022568
C051752,C0022650
C051752,C0392525
C051752,C0023067
C051752,C0023530
C051752,C0024902
C051752,C0026821
C051752,C0037763
C051752,C0026826
C051752,C0026827
C051752,C1142135
C051752,C0026961
C051752,C0027066
C051752,C0027497
C051752,C0027796
C051752,C0027849
C051752,C0028077
C051752,C0028734
C051752,C0028961
C051752,C0030193
C051752,C0030232
C051752,C0030252
C051752,C0030554
C051752,C0030794
C051752,C0030920
C051752,C0031085
C051752,C0518988
C051752,C0031350
C051752,C0032285
C051752,C0032617
C051752,C1167965
C051752,C0033117
C051752,C0033774
C051752,C0034880
C051752,C0035410
C051752,C0035455
C051752,C0036454
C051752,C0036572
C051752,C0037036
C051752,C0037199
C051752,C0038325
C051752,C0014742
C051752,C0038362
C051752,C0038454
C051752,C0038661
C051752,C0852733
C051752,C0038663
C051752,C0038990
C051752,C0020458
C051752,C0039070
C051752,C0041657
C051752,C0036974
C051752,C0039231
C051752,C0039520
C051752,C0039971
C051752,C0040034
C051752,C0040264
C051752,C0040435
C051752,C0040822
C051752,C0042023
C051752,C0042024
C051752,C0042029
C051752,C0042109
C051752,C0042133
C051752,C0042267
C051752,C0404521
C051752,C0042345
C051752,C0042571
C051752,C0042963
C051752,C0043094
C051752,C0043096
C051752,C0043352
C051752,C0043387
C051752,C0080274
C051752,C0085593
C051752,C0085605
C051752,C0085606
C051752,C0085610
C051752,C0085631
C051752,C0085632
C051752,C0233471
C051752,C0085633
C051752,C0233472
C051752,C0085636
C051752,C0085649
C051752,C0149745
C051752,C0149931
C051752,C0151315
C051752,C0948525
C051752,C1320474
C051752,C0151636
C051752,C0151736
C051752,C3263723
C051752,C0151754
C051752,C0853149
C051752,C0151766
C051752,C0151798
C051752,C0151827
C051752,C0151836
C051752,C1456784
C051752,C0151883
C051752,C0085932
C051752,C0085641
C051752,C0151904
C051752,C0151905
C051752,C0151908
C051752,C0152198
C051752,C0158350
C051752,C0162830
C051752,C0220870
C051752,C0221100
C051752,C0221170
C051752,C0231218
C051752,C0234215
C051752,C2047937
C051752,C0231528
C051752,C0231530
C051752,C0232461
C051752,C0233477
C051752,C0233632
C051752,C1306341
C051752,C0233754
C051752,C0233794
C051752,C0234022
C051752,C0234458
C051752,C0235146
C051752,C0235660
C051752,C0236051
C051752,C0013220
C051752,C0242350
C051752,C0267596
C051752,C0278080
C051752,C0439857
C051752,C0314719
C051752,C0344232
C051752,C0392025
C051752,C0000731
C051752,C0423791
C051752,C0424000
C051752,C0424230
C051752,C0424295
C051752,C0428977
C051752,C0494475
C051752,C0014549
C051752,C0497156
C051752,C0520966
C051752,C0542571
C051752,C0547030
C051752,C3665347
C051752,C0553731
C051752,C0854082
C051752,C0574067
C051752,C0010200
C051752,C0575081
C051752,C0694536
C051752,C1510472
C051752,C0699828
C051752,C0744727
C051752,C0917801
C051752,C0948281
C051752,C2364111
C051752,C2830004
C051752,C3665386
C052035,C0000731
C052035,C0000737
C052035,C0687713
C052035,C0001824
C052035,C0002170
C052035,C0002871
C052035,C0002878
C052035,C0002962
C052035,C0002994
C052035,C0003123
C052035,C0232462
C052035,C0003467
C052035,C0003811
C052035,C0003862
C052035,C0948594
C052035,C0003864
C052035,C0004093
C052035,C0004239
C052035,C0004245
C052035,C0004604
C052035,C0004936
C052035,C0005741
C052035,C0005818
C052035,C0006145
C052035,C0006277
C052035,C0007787
C052035,C0008031
C052035,C0009450
C052035,C0009782
C052035,C0009806
C052035,C0010200
C052035,C0011124
C052035,C0855242
C052035,C0011570
C052035,C0011991
C052035,C0012833
C052035,C0013144
C052035,C2830004
C052035,C0013378
C052035,C0013395
C052035,C0013404
C052035,C0013595
C052035,C0013604
C052035,C0014457
C052035,C0014518
C052035,C0014591
C052035,C0014742
C052035,C0015230
C052035,C0011603
C052035,C0015397
C052035,C0015672
C052035,C0015967
C052035,C0016204
C052035,C0016382
C052035,C0017152
C052035,C0017178
C052035,C0018099
C052035,C0018524
