drug_id(mesh_id),GenBank Protein ID,GenBank Gene ID
D003975,386424,S62908
D003975,905393,U30461
D003975,182916,L08485
D003975,1470364,S81944
D003975,31635,X14767
D003975,455946,S67368
D003975,182925,M82919
D003975,2388693,AF016917
D003975,1857126,U66661
D003975,193783776,AK122845
D003975,31637,X15376
D003975,1754749,S82769
D003975,2197001,U95367
D003975,7861736,AF189259
D004008,387018,M31822
D004008,291988,L15326
D004054,31234,X03635
D004054,2911152,AB006590
D004054,4092075,AF094518
D004061,291988,L15326
D004074,219942,D00099
D004077,219942,D00099
D004087,177772,M89955
D004087,219679,D10995
D004110,,M92270
D004110,306473,L07738
D004155,510296,Z34897
D004206,184039,M77235
D004294,927342,U32499
D004294,181432,M30625
D004298,30397,X55760
D004298,30474,X13255
D004298,32049,X58454
D004298,291946,L12398
D004298,927342,U32499
D004298,553260,M96670
D004298,181432,M30625
D004316,184088,M64799
D004316,510296,Z34897
D004316,189258,M65105
D004316,36433,X70697
D004317,292830,J04088
D004656,178286,J04144
D004837,178200,J03019
D004837,178196,M23533
D004837,433201,D25235
D004837,178198,M34041
D004837,,M99589
D004837,29371,Y00106
D004878,36431,S42168
D004878,433201,D25235
D004878,,M99589
D004878,177772,M89955
D004878,177807,M76446
D004878,219679,D10995
D004958,31234,X03635
D004958,2911152,AB006590
D004961,31234,X03635
D004961,2911152,AB006590
D004961,409875,U01828
D004961,1790878,U38291
D004966,31234,X03635
D004966,2911152,AB006590
D004970,31234,X03635
D004976,1373425,U58130
D004976,219942,D00099
D004997,31234,X03635
D005047,292830,J04088
D005283,27545517,U07882
D005283,452073,L25119
D005472,37479,X02308
D005473,36433,X70697
D005475,30397,X55760
D005475,36431,S42168
D005475,181432,M30625
D005476,30397,X55760
D005476,181432,M30625
D005479,31631,X13584
D005479,386422,S62907
D005479,386424,S62908
D005479,905393,U30461
D005479,182916,L08485
D005479,1470364,S81944
D005479,31635,X14767
D005479,455946,S67368
D005479,182925,M82919
D005479,2388693,AF016917
D005479,1857126,U66661
D005479,193783776,AK122845
D005479,31637,X15376
D005479,1754749,S82769
D005479,2197001,U95367
D005479,7861736,AF189259
D005480,291988,L15326
D005665,1373425,U58130
D005905,1374919,L78243
D005905,1088445,D50582
D006220,338028,M81778
D006220,181432,M30625
D006854,12654863,BC001275
D006854,31680,X03225
D007052,387018,M31822
D007052,291988,L15326
D007099,189258,M65105
D007099,36433,X70697
D007213,291988,L15326
D007213,190889,M22430
D007559,3342792,AF017724
D007649,642526,U17327
D007649,681914,D49394
D007649,20372905,AJ416950
D007649,1311630,M32391
D007649,,AY641831
D007654,181342,M14564
D007654,755693,L40389
D007660,291988,L15326
D007980,30397,X55760
D007980,32049,X58454
D007980,291946,L12398
D007980,927342,U32499
D007980,181432,M30625
D008012,4838145,AF117907
D008012,184039,M77235
D008012,758110,X82835
D008139,27545517,U07882
D008139,532060,U11053
D008139,452073,L25119
D008148,306865,M11058
D008376,189258,M65105
D008463,37492,X01703
D008463,37494,X02344
D008550,971194,U25341
D008550,602130,U14108
D008559,219920,D13515
D008559,558749,U09002
D008559,1899202,U90278
D008559,1196449,L76224
D008559,2444026,U77783
D008559,20372905,AJ416950
D008559,3025446,AC004528
D008620,386422,S62907
D008620,182916,L08485
D008620,905393,U30461
D008620,386424,S62908
D008620,1470364,S81944
D008620,31631,X13584
D008620,31635,X14767
D008620,455946,S67368
D008620,182925,M82919
D008620,2388693,AF016917
D008620,1857126,U66661
D008620,193783776,AK122845
D008620,31637,X15376
D008620,1754749,S82769
D008620,2197001,U95367
D008620,7861736,AF189259
D008691,27545517,U07882
D008691,452073,L25119
D008691,496607,X70297
D008691,219920,D13515
D008691,558749,U09002
D008691,1899202,U90278
D008691,1196449,L76224
D008691,2444026,U77783
D008691,20372905,AJ416950
D008691,3025446,AC004528
D008694,292335,L09118
D008694,178196,M23533
D008694,178194,J03853
D008694,189258,M65105
D008694,178198,M34041
D008694,553260,M96670
D008694,36433,X70697
D008694,14600074,AF380185
D008694,398415,S62734
D008694,187353,M68840
D008694,,
D008727,37479,X02308
D008727,182724,J00140
D008727,1263196,U37436
D008750,178196,M23533
D008775,31680,X03225
D008790,178200,J03019
D008797,181333,M32879
D008825,578119,X13296
D008874,31631,X13584
D008874,386422,S62907
D008874,386424,S62908
D008874,905393,U30461
D008874,182916,L08485
D008874,1470364,S81944
D008874,31635,X14767
D008874,455946,S67368
D008874,182925,M82919
D008874,2388693,AF016917
D008874,1857126,U66661
D008874,193783776,AK122845
D008874,31637,X15376
D008874,1754749,S82769
D008874,2197001,U95367
D008874,7861736,AF189259
D008879,433201,D25235
D008879,,M99589
D008942,292830,J04088
D009020,27545517,U07882
D009020,532060,U11053
D009020,452073,L25119
D009241,32324,X15266
D009241,34451,X52068
D009241,177990,M16404
D009270,27545517,U07882
D009270,532060,U11053
D009270,452073,L25119
D009271,123231939,AL450283
D009271,27545517,U07882
D009271,532060,U11053
D009271,452073,L25119
D009288,387018,M31822
D009288,291988,L15326
D009388,177975,M55040
D009525,1060907,D78177
D009525,28975188,AY148884
D009525,494989,U08021
D009525,219867,D10923
D009529,,M92270
D009529,179762,M76559
D009529,300417,S60415
D009529,179764,M76558
D009538,755648,L35901
D009538,32017,X53179
D009538,496607,X70297
D009543,,M92270
D009543,300417,S60415
D009543,179764,M76558
D009567,31631,X13584
D009567,386422,S62907
D009567,386424,S62908
D009567,905393,U30461
D009567,182916,L08485
D009567,1470364,S81944
D009567,31635,X14767
D009567,455946,S67368
D009567,182925,M82919
D009567,2388693,AF016917
D009567,1857126,U66661
D009567,193783776,AK122845
D009567,31637,X15376
D009567,1754749,S82769
D009567,2197001,U95367
D009567,7861736,AF189259
D009568,,M92270
D009568,179762,M76559
D009568,300417,S60415
D009568,1698403,U30707
D009568,179764,M76558
D009638,178200,J03019
D009638,178196,M23533
D009638,178194,J03853
D009638,433201,D25235
D009638,178198,M34041
D009638,,M99589
D009638,29371,Y00106
D009638,177807,M76446
D009638,178896,M29932
D009643,1574722,L42023
D009643,1574370,L42023
D010042,219942,D00099
D010096,178200,J03019
D010197,1458110,U62431
D010629,4115829,AB022017
D010634,31631,X13584
D010643,178196,M23533
D010643,433201,D25235
D010653,387018,M31822
D010653,10944956,D38145
D010653,291988,L15326
D010672,487738,U04270
D010672,12642270,AF225985
D010672,184039,M77235
D010672,457879,M94055
D010672,4321647,AF050736
D010672,,M92270
D010672,179764,M76558
D010672,3183953,AJ006216
D010672,1698403,U30707
D010672,179806,M92303
D010672,300417,S60415
D010672,435135,X76555
D010672,2058727,U95020
D010672,2213913,AF004884
D010868,487738,U04270
D010868,927342,U32499
D010868,181432,M30625
D010894,291988,L15326
D011224,433201,D25235
D011224,,M99589
D011224,177807,M76446
D011239,31680,X03225
D011241,31680,X03225
D011339,7707622,AB026116
D011339,3831566,AF057039
D011339,4378059,AF097491
D011374,35652,X51730
D011374,307166,M16801
D011398,510296,Z34897
D011405,487738,U04270
D011405,184039,M77235
D011433,178200,J03019
D011530,189258,M65105
D011530,36433,X70697
D011796,190007,M72393
D011796,3142700,AF064594
D011796,780122,D42108
D011802,184039,M77235
D011899,184088,M64799
D012110,292335,L09118
D012254,61991,X57559
D012254,307067,J05272
D012254,323655,M19197
D012256,7023634,AK002011
D012256,1384068,D26308
D012256,,X69109
D012293,42818,V00339
D012460,387018,M31822
D012460,1711117,U79012
D012460,187193,J03600
D012460,291988,L15326
D012642,398415,S62734
D013148,307166,M16801
D013311,29337303,AE015928
D013442,1835659,L05628
D013442,1764162,U63970
D013442,,
D013467,291988,L15326
D013619,177975,M55040
D013619,1311630,M32391
D013629,31234,X03635
D013629,296673,X16349
D013629,2911152,AB006590
D013629,35483,X52479
D013629,189969,M13975
D013629,,L07860
D013629,,X65293
D013629,,
D013629,432274,L18964
D013629,558099,L01087
D013739,178628,M20132
D013752,809690,X01563
D013752,42826,X02613
D013752,,
D013759,29915,X54937
D013806,256155,S45235
D013806,3420185,AF043731
D013806,178150,M97759
D013806,38201493,M91667
D013806,347122,L20966
D013806,177892,M97370
D013806,347120,L20965
D013806,1667394,U31814
D013888,30397,X55760
D013888,36431,S42168
D013888,181432,M30625
D013974,31207,X04707
D013974,825639,X55074
D013974,306786,J02703
D013974,340307,M14648
D013999,178200,J03019
D013999,29371,Y00106
D014044,1374919,L78243
D014046,291988,L15326
D014196,189928,M28269
D014196,36431,S42168
D014196,338028,M81778
D014196,36433,X70697
D014212,30448,X63522
D014212,306887,M24857
D014212,1053069,U38480
D014268,433201,D25235
D014268,6980076,AF225903
D014268,181432,M30625
D014295,146006,J01609
D014299,189258,M65105
D014299,36433,X70697
D014580,531160,U05598
D014635,15590680,AY032737
D014700,,M92270
D014747,338695,J00314
D014747,37492,X01703
D014747,6457580,AF201333
D014747,6457582,AF201334
D014747,183703,M61764
D014750,338695,J00314
D014805,1923221,U71285
D014805,187452,M65131
D015215,896047,U28646
D015232,410209,L22647
D015232,632650,U19487
D015232,,S69200
D015232,,BC113523
D015242,1574722,L42023
D015242,1574370,L42023
D015248,307341,L02932
D015255,292830,J04088
D015283,36433,X70697
D015735,35652,X51730
D015735,31680,X03225
D015736,,M92270
D015736,179762,M76559
D015736,300417,S60415
D015736,1698403,U30707
D015736,179764,M76558
D015737,,M92270
D015737,179762,M76559
D015737,300417,S60415
D015737,1698403,U30707
D015737,179764,M76558
D015738,184088,M64799
D015760,452073,L25119
D015764,2213913,AF004884
D015764,14670397,AF051946
D015764,,AJ251368
D015766,,
D016589,510296,Z34897
D016593,510296,Z34897
D016666,36433,X70697
D017035,306865,M11058
D017239,11230445,AJ292757
D017239,179367,M13994
D017239,409875,U01828
D017239,,BN000503
D017239,,BC015149
D017257,178286,J04144
D017291,24054563,AE005674
D017292,433201,D25235
D017292,177807,M76446
D017308,291988,L15326
D017312,31234,X03635
D017336,510296,Z34897
D017338,35565,X00737
D017338,36065,X59543
D017338,35568,X06745
D017338,,X59618
D017338,7229086,AB036063
D017338,3192938,L09561
D017338,2697123,AF025840
D017338,21411517,BC031331
D017338,8100806,AF226077
D017374,36433,X70697
D017964,755693,L40389
D017964,1698396,U23942
D018170,189928,M28269
D018170,307420,L05597
D018170,177772,M89955
D018170,219679,D10995
D018967,36431,S42168
D018967,181432,M30625
D019782,5668545,AB026891
D019782,184039,M77235
D019808,179122,M91464
D019821,306865,M11058
D020123,182628,M34539
D020123,31362,X04431
D020123,,L34075
D020156,387018,M31822
D020156,291988,L15326
D020280,36433,X70697
D020748,5565888,AF129133
D020748,179806,M92303
D020748,,M92270
D020748,6625659,AF134986
D020748,14670397,AF051946
D020748,300417,S60415
D020748,1698403,U30707
D020748,2058727,U95020
D020748,3183953,AJ006216
D020748,435135,X76555
D020748,179764,M76558
D020913,178286,J04144
